Account Number,Card Number,Open to Buy,Credit Limit,Transaction Amount,Transaction Time,Transaction Date,Transaction Type,Currency Code,Merchant Category Code,Merchant Number,Transaction Country,Transaction City,Approval Code,Fraud Label
7780800840,8.4458E+15,74565.89923,54798.82805,6882.571558,4:32:40,2/21/2023,Online Payment,INR,5316,YJWCUFWT5V9E,IN,Chennai,X236LK,Not Fraud
5198992572,7.05532E+15,33994.67546,143194.285,4487.46083,12:56:14,12/23/2024,Refund,INR,4044,3LSMN6MB4T0Z,IN,Hyderabad,3Z76QA,Not Fraud
9945958376,3.18347E+15,65417.29473,54192.99017,3974.051732,17:50:28,3/15/2023,Refund,INR,5162,HY8QGUSLUJZN,IN,Pune,OPWEYJ,Not Fraud
37765173,5.43226E+15,94735.22674,142346.3724,5274.458407,9:39:01,4/24/2023,Refund,INR,5848,VGC0FAYDTHBI,IN,Chennai,KX61IU,Not Fraud
4756367253,5.28446E+15,45796.82656,56830.06309,8416.512321,9:33:01,4/9/2024,Purchase,INR,4487,UQ0DYXOX7ILB,IN,Hyderabad,KKN1N5,Not Fraud
7274177527,5.84697E+15,31320.27031,196528.1147,757.740855,10:43:47,12/17/2023,Purchase,INR,5364,BOW5VEXV05XE,IN,Pune,E99LN0,Not Fraud
9596594317,5.33952E+15,34975.19351,175134.9659,9969.813417,18:19:57,6/15/2023,Online Payment,INR,5592,8O6BXI90QVSE,IN,Mumbai,WQ3EZL,Not Fraud
3493017436,4.68392E+15,23789.42071,95012.41728,5371.399176,17:36:12,8/14/2024,Online Payment,INR,4870,T1Y69NM3TEFF,IN,Kolkata,8PJYN8,Not Fraud
6771335151,8.24971E+15,61003.93935,155711.0223,5000.385038,3:25:29,2/29/2024,Online Payment,INR,4661,TRHMOMKF3R8O,IN,Mumbai,IMKOCR,Not Fraud
8761550453,5.54909E+15,60617.46231,100284.0458,4159.252417,21:33:55,4/10/2024,Purchase,INR,5378,1TLST4Q13873,IN,Hyderabad,ERKXTP,Not Fraud
9619428781,9.09946E+15,81221.63885,119596.6454,6867.228189,0:20:24,3/20/2024,Purchase,INR,5372,MJHMNJC8E462,IN,Kolkata,A8YSML,Not Fraud
6775115959,5.17466E+14,87147.46753,61781.26186,7288.447783,19:17:40,12/27/2023,Online Payment,INR,4728,WVSKXDNZ1HCT,IN,Delhi,0MUMOM,Not Fraud
1950836441,1.03398E+15,88128.62609,192814.9283,5601.555864,19:48:46,8/28/2023,Cash Withdrawal,INR,4738,YWMT9B5ARE5U,IN,Delhi,IAVE6U,Not Fraud
1510922591,9.30542E+15,58840.08398,151409.0026,8402.744989,3:50:37,11/7/2024,Online Payment,INR,5055,58HYLN9QELPB,IN,Ahmedabad,F2AN4O,Not Fraud
1557458507,9.47228E+15,66620.75302,148695.9944,2557.584808,4:27:09,11/14/2023,Online Payment,INR,4760,BAGGQJABEBUI,IN,Mumbai,RBSANI,Not Fraud
